Date,District,PM2.5,PM10,NO2,SO2
01/01/2010,Kolkata,-1,250.11,131.67,16.46
02/01/2010,Kolkata,-1,193.00,117.33,16.10
03/01/2010,Kolkata,-1,159.20,95.20,11.03
04/01/2010,Kolkata,-1,187.00,116.25,13.62
05/01/2010,Kolkata,-1,179.80,101.60,12.73
06/01/2010,Kolkata,-1,217.89,115.67,10.57
07/01/2010,Kolkata,-1,190.40,117.80,15.46
08/01/2010,Kolkata,-1,207.20,121.40,20.77
09/01/2010,Kolkata,-1,284.00,159.50,28.50
10/01/2010,Kolkata,-1,245.67,134.33,24.35
11/01/2010,Kolkata,-1,251.50,125.50,17.23
12/01/2010,Kolkata,-1,208.00,102.40,18.82
13/01/2010,Kolkata,-1,198.67,113.50,17.73
14/01/2010,Kolkata,-1,197.86,88.86,15.73
15/01/2010,Kolkata,-1,230.00,117.83,22.79
16/01/2010,Kolkata,-1,217.00,104.14,17.85
17/01/2010,Kolkata,-1,189.89,99.11,14.86
18/01/2010,Kolkata,-1,144.50,87.50,13.45
19/01/2010,Kolkata,-1,158.00,86.50,10.43
20/01/2010,Kolkata,-1,194.40,102.80,11.20
21/01/2010,Kolkata,-1,212.50,105.50,12.56
22/01/2010,Kolkata,-1,215.17,121.83,16.05
23/01/2010,Kolkata,-1,178.10,108.60,14.29
24/01/2010,Kolkata,-1,222.17,128.50,17.55
25/01/2010,Kolkata,-1,274.33,151.00,19.58
26/01/2010,Kolkata,-1,242.67,155.83,19.30
27/01/2010,Kolkata,-1,219.83,125.50,18.88
28/01/2010,Kolkata,-1,306.20,133.00,21.67
29/01/2010,Kolkata,-1,213.33,140.83,17.13
30/01/2010,Kolkata,-1,272.29,155.57,24.37
31/01/2010,Kolkata,-1,289.67,160.00,22.65
01/02/2010,Kolkata,-1,219.00,111.44,15.74
02/02/2010,Kolkata,-1,237.33,117.67,19.92
03/02/2010,Kolkata,-1,227.83,123.67,22.03
04/02/2010,Kolkata,-1,221.00,105.80,16.10
05/02/2010,Kolkata,-1,220.17,108.67,17.42
06/02/2010,Kolkata,-1,241.67,90.33,20.89
