YEAR,MONTH,CITY,PRESSURE(mb)
2009,JAN,KOLKATA,1015.1
2009,FEB,KOLKATA,1011.7
2009,MAR,KOLKATA,1009.4
2009,APR,KOLKATA,1005.4
2009,MAY,KOLKATA,1003
2009,JUN,KOLKATA,999.7
2009,JUL,KOLKATA,999.3
2009,AUG,KOLKATA,1003
2009,SEP,KOLKATA,1004.7
2009,OCT,KOLKATA,1009.5
2009,NOV,KOLKATA,1013.2
2009,DEC,KOLKATA,1015
2010,JAN,KOLKATA,1016.3
2010,FEB,KOLKATA,1013.2
2010,MAR,KOLKATA,1009.2
2010,APR,KOLKATA,1005.8
2010,MAY,KOLKATA,1002.9
2010,JUN,KOLKATA,1001.2
2010,JUL,KOLKATA,1002.5
2010,AUG,KOLKATA,1003.7
2010,SEP,KOLKATA,1005.4
2010,OCT,KOLKATA,1007.4
2010,NOV,KOLKATA,1011.9
2010,DEC,KOLKATA,1012.1
2011,JAN,KOLKATA,1013.5
2011,FEB,KOLKATA,1012
2011,MAR,KOLKATA,1009.2
2011,APR,KOLKATA,1008.4
2011,MAY,KOLKATA,1003.4
2011,JUN,KOLKATA,998.8
2011,JUL,KOLKATA,1001
2011,AUG,KOLKATA,1002
2011,SEP,KOLKATA,1002.8
2011,OCT,KOLKATA,1009.6
2011,NOV,KOLKATA,1012.8
2011,DEC,KOLKATA,1014.3
2012,JAN,KOLKATA,1014.4
2012,FEB,KOLKATA,1011.8
2012,MAR,KOLKATA,1009.1
2012,APR,KOLKATA,1006.1
2012,MAY,KOLKATA,1002.6
2012,JUN,KOLKATA,997.6
2012,JUL,KOLKATA,998.7
2012,AUG,KOLKATA,1001.2
2012,SEP,KOLKATA,1004.9
2012,OCT,KOLKATA,1010.6
2012,NOV,KOLKATA,1012.3
2012,DEC,KOLKATA,1013.6
2013,JAN,KOLKATA,1015.5
2013,FEB,KOLKATA,1013.7
2013,MAR,KOLKATA,1010.1
2013,APR,KOLKATA,1006.2
2013,MAY,KOLKATA,1001.5
2013,JUN,KOLKATA,999.8
2013,JUL,KOLKATA,998.4
2013,AUG,KOLKATA,1001.4
2013,SEP,KOLKATA,1004.3
2013,OCT,KOLKATA,1009.4
2013,NOV,KOLKATA,1013.2
2013,DEC,KOLKATA,1014.1
2014,JAN,KOLKATA,1016.5
2014,FEB,KOLKATA,1012.5
2014,MAR,KOLKATA,1011.5
2014,APR,KOLKATA,1007.4
2014,MAY,KOLKATA,1004.4
2014,JUN,KOLKATA,999.1
2014,JUL,KOLKATA,998.9
2014,AUG,KOLKATA,1002.1
2014,SEP,KOLKATA,1005
2014,OCT,KOLKATA,1011.3
2014,NOV,KOLKATA,1012.5
2014,DEC,KOLKATA,1015.2
2015,JAN,KOLKATA,1016.1
2015,FEB,KOLKATA,1014.1
2015,MAR,KOLKATA,1011.9
2015,APR,KOLKATA,1007.7
2015,MAY,KOLKATA,1004.5
