YEAR,MONTH,CITY,MAX,AVG,MIN
2009,JAN,KOLKATA,29,22,16
2009,FEB,KOLKATA,33,24,17
2009,MAR,KOLKATA,37,28,22
2009,APR,KOLKATA,41,33,26
2009,MAY,KOLKATA,39,32,27
2009,JUN,KOLKATA,41,34,29
2009,JUL,KOLKATA,32,29,27
2009,AUG,KOLKATA,31,28,26
2009,SEP,KOLKATA,31,28,26
2009,OCT,KOLKATA,30,25,22
2009,NOV,KOLKATA,29,23,19
2009,DEC,KOLKATA,27,20,15
2010,JAN,KOLKATA,27,19,13
2010,FEB,KOLKATA,32,23,17
2010,MAR,KOLKATA,39,30,23
2010,APR,KOLKATA,42,34,28
2010,MAY,KOLKATA,40,33,28
2010,JUN,KOLKATA,37,32,29
2010,JUL,KOLKATA,32,29,26
2010,AUG,KOLKATA,34,29,26
2010,SEP,KOLKATA,32,28,25
2010,OCT,KOLKATA,31,26,23
2010,NOV,KOLKATA,31,25,20
2010,DEC,KOLKATA,26,20,15
2011,JAN,KOLKATA,26,19,14
2011,FEB,KOLKATA,31,23,17
2011,MAR,KOLKATA,35,27,21
2011,APR,KOLKATA,37,29,24
2011,MAY,KOLKATA,38,32,28
2011,JUN,KOLKATA,34,31,28
2011,JUL,KOLKATA,33,29,27
2011,AUG,KOLKATA,32,29,26
2011,SEP,KOLKATA,31,28,25
2011,OCT,KOLKATA,31,27,23
2011,NOV,KOLKATA,29,23,19
2011,DEC,KOLKATA,27,21,16
2012,JAN,KOLKATA,26,20,15
2012,FEB,KOLKATA,30,23,17
2012,MAR,KOLKATA,36,27,21
2012,APR,KOLKATA,38,31,26
2012,MAY,KOLKATA,40,33,28
2012,JUN,KOLKATA,39,33,29
2012,JUL,KOLKATA,34,30,27
2012,AUG,KOLKATA,32,29,26
2012,SEP,KOLKATA,31,28,25
2012,OCT,KOLKATA,31,26,22
2012,NOV,KOLKATA,28,23,18
2012,DEC,KOLKATA,27,20,15
2013,JAN,KOLKATA,26,19,14
2013,FEB,KOLKATA,30,23,18
2013,MAR,KOLKATA,36,28,21
2013,APR,KOLKATA,39,31,26
2013,MAY,KOLKATA,36,31,28
2013,JUN,KOLKATA,35,31,28
2013,JUL,KOLKATA,34,30,27
2013,AUG,KOLKATA,32,29,26
2013,SEP,KOLKATA,32,28,26
2013,OCT,KOLKATA,29,26,23
2013,NOV,KOLKATA,28,22,18
2013,DEC,KOLKATA,27,21,17
2014,JAN,KOLKATA,26,20,15
2014,FEB,KOLKATA,30,23,18
2014,MAR,KOLKATA,35,28,22
2014,APR,KOLKATA,41,33,26
2014,MAY,KOLKATA,40,33,29
2014,JUN,KOLKATA,38,33,29
2014,JUL,KOLKATA,33,30,27
2014,AUG,KOLKATA,33,29,27
2014,SEP,KOLKATA,33,28,25
2014,OCT,KOLKATA,31,27,23
2014,NOV,KOLKATA,30,24,19
2014,DEC,KOLKATA,27,21,16
2015,JAN,KOLKATA,26,21,16
2015,FEB,KOLKATA,31,24,19
2015,MAR,KOLKATA,34,28,22
2015,APR,KOLKATA,37,31,26
2015,MAY,KOLKATA,39,33,29
2015,JUN,KOLKATA,36,32,29
2015,JUL,KOLKATA,33,30,28
2015,AUG,KOLKATA,34,30,27
2015,SEP,KOLKATA,34,30,27
2015,OCT,KOLKATA,32,28,24
2015,NOV,KOLKATA,31,25,21
2015,DEC,KOLKATA,28,23,19
2016,JAN,KOLKATA,27,21,17
2016,FEB,KOLKATA,32,26,21
2016,MAR,KOLKATA,36,29,24
2016,APR,KOLKATA,40,33,28
2016,MAY,KOLKATA,38,33,29
2016,JUN,KOLKATA,37,32,29
2016,JUL,KOLKATA,34,30,28
2016,AUG,KOLKATA,33,30,27
2016,SEP,KOLKATA,33,29,26
2016,OCT,KOLKATA,32,27,24
2016,NOV,KOLKATA,29,24,19
2016,DEC,KOLKATA,28,22,17
2017,JAN,KOLKATA,28,21,15
2017,FEB,KOLKATA,31,24,18
2017,MAR,KOLKATA,34,26,21
2017,APR,KOLKATA,38,31,26
2017,MAY,KOLKATA,40,33,29
2017,JUN,KOLKATA,37,32,29
2017,JUL,KOLKATA,34,31,28
2017,AUG,KOLKATA,33,30,28
2017,SEP,KOLKATA,33,30,27
2017,OCT,KOLKATA,31,27,25
2017,NOV,KOLKATA,29,24,20
2017,DEC,KOLKATA,27,22,18
2018,JAN,KOLKATA,26,20,15
2018,FEB,KOLKATA,32,25,20
2018,MAR,KOLKATA,36,29,23
2018,APR,KOLKATA,38,31,26
2018,MAY,KOLKATA,37,32,28
2018,JUN,KOLKATA,37,33,30
2018,JUL,KOLKATA,34,31,28
2018,AUG,KOLKATA,33,30,27
2018,SEP,KOLKATA,33,29,27
2018,OCT,KOLKATA,33,30,26
2018,NOV,KOLKATA,32,29,24
2018,DEC,KOLKATA,27,24,20
2019,JAN,KOLKATA,29,25,20
2019,FEB,KOLKATA,31,28,22
2019,MAR,KOLKATA,35,31,25
2019,APR,KOLKATA,39,35,28
2019,MAY,KOLKATA,40,36,29
2019,JUN,KOLKATA,38,35,30
2019,JUL,KOLKATA,35,33,29
2009,JAN,HOWRAH,29,22,16
2009,FEB,HOWRAH,33,24,17
2009,MAR,HOWRAH,37,28,22
2009,APR,HOWRAH,41,33,26
2009,MAY,HOWRAH,39,32,27
2009,JUN,HOWRAH,41,34,29
2009,JUL,HOWRAH,32,29,27
2009,AUG,HOWRAH,31,28,26
2009,SEP,HOWRAH,31,28,26
2009,OCT,HOWRAH,30,25,22
2009,NOV,HOWRAH,29,23,19
2009,DEC,HOWRAH,27,20,15
2010,JAN,HOWRAH,27,19,13
2010,FEB,HOWRAH,32,23,17
2010,MAR,HOWRAH,39,30,23
2010,APR,HOWRAH,42,34,28
2010,MAY,HOWRAH,40,33,28
2010,JUN,HOWRAH,37,32,29
2010,JUL,HOWRAH,32,29,26
2010,AUG,HOWRAH,34,29,26
2010,SEP,HOWRAH,32,28,25
2010,OCT,HOWRAH,31,26,23
2010,NOV,HOWRAH,31,25,20
2010,DEC,HOWRAH,26,20,15
2011,JAN,HOWRAH,26,19,14
2011,FEB,HOWRAH,31,23,17
2011,MAR,HOWRAH,35,27,21
