Date,District,PM2.5,PM10,NO2,SO2
01-01-10,Kolkata,-1,250.11,131.67,16.46
02-01-10,Kolkata,-1,193,117.33,16.1
03-01-10,Kolkata,-1,159.2,95.2,11.03
04-01-10,Kolkata,-1,187,116.25,13.62
05-01-10,Kolkata,-1,179.8,101.6,12.73
06-01-10,Kolkata,-1,217.89,115.67,10.57
07-01-10,Kolkata,-1,190.4,117.8,15.46
08-01-10,Kolkata,-1,207.2,121.4,20.77
09-01-10,Kolkata,-1,284,159.5,28.5
10-01-10,Kolkata,-1,245.67,134.33,24.35
11-01-10,Kolkata,-1,251.5,125.5,17.23
12-01-10,Kolkata,-1,208,102.4,18.82
13-01-10,Kolkata,-1,198.67,113.5,17.73
14-01-10,Kolkata,-1,197.86,88.86,15.73
15-01-10,Kolkata,-1,230,117.83,22.79
16-01-10,Kolkata,-1,217,104.14,17.85
17-01-10,Kolkata,-1,189.89,99.11,14.86
18-01-10,Kolkata,-1,144.5,87.5,13.45
19-01-10,Kolkata,-1,158,86.5,10.43
20-01-10,Kolkata,-1,194.4,102.8,11.2
21-01-10,Kolkata,-1,212.5,105.5,12.56
22-01-10,Kolkata,-1,215.17,121.83,16.05
23-01-10,Kolkata,-1,178.1,108.6,14.29
24-01-10,Kolkata,-1,222.17,128.5,17.55
25-01-10,Kolkata,-1,274.33,151,19.58
26-01-10,Kolkata,-1,242.67,155.83,19.3
27-01-10,Kolkata,-1,219.83,125.5,18.88
28-01-10,Kolkata,-1,306.2,133,21.67
29-01-10,Kolkata,-1,213.33,140.83,17.13
30-01-10,Kolkata,-1,272.29,155.57,24.37
31-01-10,Kolkata,-1,289.67,160,22.65
01-02-10,Kolkata,-1,219,111.44,15.74
02-02-10,Kolkata,-1,237.33,117.67,19.92
03-02-10,Kolkata,-1,227.83,123.67,22.03
04-02-10,Kolkata,-1,221,105.8,16.1
05-02-10,Kolkata,-1,220.17,108.67,17.42
06-02-10,Kolkata,-1,241.67,90.33,20.89
07-02-10,Kolkata,-1,224.33,113.67,16.87
08-02-10,Kolkata,-1,268.33,105,15.79
09-02-10,Kolkata,-1,239.5,106.33,19.6
10-02-10,Kolkata,-1,273.56,102.67,20.64
11-02-10,Kolkata,-1,234.71,115.14,18.42
12-02-10,Kolkata,-1,260.17,92.17,14.66
13-02-10,Kolkata,-1,213.83,84.67,13.09
14-02-10,Kolkata,-1,136.67,74.83,13.35
15-02-10,Kolkata,-1,205,98.33,15.08
16-02-10,Kolkata,-1,150.5,78.17,11.14
17-02-10,Kolkata,-1,184.83,94.67,17.36
18-02-10,Kolkata,-1,151.71,74.57,12.52
19-02-10,Kolkata,-1,150.5,86.75,13.89
20-02-10,Kolkata,-1,164.5,82.67,11.91
21-02-10,Kolkata,-1,169.71,81.14,12.29
22-02-10,Kolkata,-1,194.33,98.22,14.63
23-02-10,Kolkata,-1,192.67,103.5,16.67
24-02-10,Kolkata,-1,156.83,90.17,14.67
25-02-10,Kolkata,-1,110.17,66.5,9.85
26-02-10,Kolkata,-1,68.8,76.6,10.74
27-02-10,Kolkata,-1,153.33,84.11,12.11
28-02-10,Kolkata,-1,163.14,83.14,15.8
01-03-10,Kolkata,-1,164.83,77.67,14.83
02-03-10,Kolkata,-1,101.8,74.6,12.43
03-03-10,Kolkata,-1,113.17,81.33,14.03
04-03-10,Kolkata,-1,108.29,66.57,10.07
05-03-10,Kolkata,-1,83.6,58,12.56
06-03-10,Kolkata,-1,86.67,64.67,14.03
07-03-10,Kolkata,-1,83.86,62.14,11.98
08-03-10,Kolkata,-1,104.83,62.67,13.11
09-03-10,Kolkata,-1,80.17,74.83,12.32
10-03-10,Kolkata,-1,144.43,67.14,13.99
11-03-10,Kolkata,-1,141.83,171.17,15.31
12-03-10,Kolkata,-1,181.29,78.86,16.07
13-03-10,Kolkata,-1,184,84.33,16.34
14-03-10,Kolkata,-1,178.6,87.4,19.12
15-03-10,Kolkata,-1,122.5,69.33,13.58
16-03-10,Kolkata,-1,87.83,60.33,13.57
17-03-10,Kolkata,-1,95.29,53.71,8.14
18-03-10,Kolkata,-1,96.5,66.5,15.2
19-03-10,Kolkata,-1,147.83,75,15.2
20-03-10,Kolkata,-1,127.33,75,20.92
21-03-10,Kolkata,-1,140.17,75.33,23.97
22-03-10,Kolkata,-1,116,70.67,14.42
23-03-10,Kolkata,-1,97.5,56.17,15.19
24-03-10,Kolkata,-1,95.67,62.33,17.08
25-03-10,Kolkata,-1,97.83,56.83,12.45
26-03-10,Kolkata,-1,90.17,54.5,13.36
27-03-10,Kolkata,-1,64.2,53,15.56
28-03-10,Kolkata,-1,80.86,59.71,14.62
29-03-10,Kolkata,-1,64.83,51.33,13.02
30-03-10,Kolkata,-1,61.67,55.17,13.97
31-03-10,Kolkata,-1,58,52.6,15.05
01-04-10,Kolkata,-1,54.71,51.71,12.24
02-04-10,Kolkata,-1,68.67,61,12.34
03-04-10,Kolkata,-1,76.71,48,9.67
04-04-10,Kolkata,-1,71.67,52.83,9.92
05-04-10,Kolkata,-1,55.44,55,9.09
06-04-10,Kolkata,-1,55.67,49.83,8.9
