Date,District,PM2.5,PM10,NO2,SO2
01/01/2011,Kolkata,-1,254.98,225.01,15.44
02/01/2011,Kolkata,-1,336.39,186.55,13.76
03/01/2011,Kolkata,-1,215.57,109.53,12.30
04/01/2011,Kolkata,-1,188.25,99.37,6.97
05/01/2011,Kolkata,-1,183.31,106.47,9.17
06/01/2011,Kolkata,-1,183.34,105.22,11.53
07/01/2011,Kolkata,-1,202.66,143.38,11.10
08/01/2011,Kolkata,-1,210.41,121.76,14.21
09/01/2011,Kolkata,-1,237.11,121.86,8.81
10/01/2011,Kolkata,-1,248.18,140.74,10.10
11/01/2011,Kolkata,-1,204.29,117.97,9.43
12/01/2011,Kolkata,-1,196.58,115.16,10.62
13/01/2011,Kolkata,-1,259.76,113.19,7.62
14/01/2011,Kolkata,-1,275.42,115.26,7.92
15/01/2011,Kolkata,-1,361.56,157.86,10.62
16/01/2011,Kolkata,-1,322.27,125.77,12.93
17/01/2011,Kolkata,-1,224.95,114.66,14.48
18/01/2011,Kolkata,-1,233.45,127.13,14.72
19/01/2011,Kolkata,-1,192.64,108.77,12.62
20/01/2011,Kolkata,-1,220.40,139.20,19.30
21/01/2011,Kolkata,-1,217.99,123.61,14.13
22/01/2011,Kolkata,-1,175.42,88.91,10.77
23/01/2011,Kolkata,-1,250.51,149.45,15.35
24/01/2011,Kolkata,-1,292.41,196.79,17.96
25/01/2011,Kolkata,-1,204.64,177.98,15.93
26/01/2011,Kolkata,-1,218.48,206.82,21.18
27/01/2011,Kolkata,-1,276.50,175.13,15.16
28/01/2011,Kolkata,-1,273.32,156.85,11.97
29/01/2011,Kolkata,-1,207.13,118.24,11.25
30/01/2011,Kolkata,-1,172.39,121.77,12.65
31/01/2011,Kolkata,-1,181.64,115.07,11.26
01/02/2011,Kolkata,-1,208.02,124.97,10.88
02/02/2011,Kolkata,-1,190.48,137.75,10.38
03/02/2011,Kolkata,-1,235.67,136.58,10.50
04/02/2011,Kolkata,-1,263.78,172.17,13.75
05/02/2011,Kolkata,-1,244.90,130.17,15.36
06/02/2011,Kolkata,-1,247.07,125.01,12.20
07/02/2011,Kolkata,-1,250.28,135.22,12.52
08/02/2011,Kolkata,-1,289.20,182.10,12.39
09/02/2011,Kolkata,-1,236.39,132.01,13.78
10/02/2011,Kolkata,-1,188.85,113.92,14.61
11/02/2011,Kolkata,-1,169.81,106.06,10.58
12/02/2011,Kolkata,-1,192.16,114.06,10.40
13/02/2011,Kolkata,-1,210.36,157.33,15.13
14/02/2011,Kolkata,-1,137.04,148.95,12.67
15/02/2011,Kolkata,-1,162.11,138.17,13.17
16/02/2011,Kolkata,-1,153.31,110.26,11.80
17/02/2011,Kolkata,-1,143.53,88.88,13.38
18/02/2011,Kolkata,-1,134.64,86.91,11.21
19/02/2011,Kolkata,-1,118.09,67.53,8.19
20/02/2011,Kolkata,-1,122.28,77.52,9.47
21/02/2011,Kolkata,-1,132.43,86.75,10.15
22/02/2011,Kolkata,-1,165.05,85.23,8.70
23/02/2011,Kolkata,-1,169.04,82.37,7.31
24/02/2011,Kolkata,-1,181.08,102.71,11.28
25/02/2011,Kolkata,-1,186.44,121.04,15.52
26/02/2011,Kolkata,-1,212.48,109.84,10.74
