01/01/15 : [120.4175, 116.0]
02/01/15 : [80.388, 90.6]
03/01/15 : [75.915, 82.33333333333333]
04/01/15 : [82.805, 83.5]
05/01/15 : [131.7225, 153.25]
06/01/15 : [172.212, 173.8]
07/01/15 : [204.135, 177.75]
08/01/15 : [210.53400000000002, 203.4]
09/01/15 : [186.75166666666667, 176.0]
10/01/15 : [185.185, 162.5]
11/01/15 : [201.26999999999998, 196.75]
12/01/15 : [196.3216666666667, 187.83333333333334]
13/01/15 : [236.504, 198.6]
14/01/15 : [247.795, 250.75]
15/01/15 : [221.52200000000002, 241.2]
16/01/15 : [190.7125, 187.5]
17/01/15 : [166.345, 160.25]
18/01/15 : [194.445, 190.25]
19/01/15 : [241.01, 217.33333333333334]
20/01/15 : [184.93599999999998, 166.0]
21/01/15 : [204.46, 202.25]
22/01/15 : [222.302, 199.8]
23/01/15 : [208.89999999999998, 185.75]
24/01/15 : [205.4025, 217.75]
25/01/15 : [176.735, 157.75]
26/01/15 : [165.3025, 168.5]
27/01/15 : [172.904, 194.2]
28/01/15 : [162.8425, 149.0]
29/01/15 : [135.586, 131.6]
30/01/15 : [157.835, 157.16666666666666]
31/01/15 : [166.5075, 146.75]
01/02/15 : [135.175, 136.25]
02/02/15 : [196.46599999999998, 169.2]
03/02/15 : [193.7425, 206.5]
04/02/15 : [210.642, 188.6]
05/02/15 : [173.275, 162.5]
06/02/15 : [159.95, 164.75]
07/02/15 : [167.76749999999998, 158.75]
08/02/15 : [176.88, 154.75]
09/02/15 : [188.58, 189.25]
10/02/15 : [178.09, 155.2]
11/02/15 : [176.97, 184.75]
12/02/15 : [191.68800000000002, 186.6]
13/02/15 : [181.43, 162.0]
14/02/15 : [160.02666666666667, 149.16666666666666]
15/02/15 : [137.0375, 123.5]
16/02/15 : [100.652, 107.0]
17/02/15 : [107.82, 103.16666666666667]
18/02/15 : [105.88199999999999, 101.2]
19/02/15 : [104.3475, 82.6]
20/02/15 : [108.595, 110.75]
21/02/15 : [117.09, 113.25]
22/02/15 : [94.8425, 94.0]
23/02/15 : [87.3725, 89.0]
24/02/15 : [115.47999999999999, 107.0]
25/02/15 : [162.7875, 142.5]
26/02/15 : [128.352, 115.6]
27/02/15 : [123.2, 116.75]
28/02/15 : [122.13499999999999, 113.0]
01/03/15 : [95.92999999999999, 98.75]
02/03/15 : [116.888, 108.8]
03/03/15 : [210.6575, 191.5]
04/03/15 : [89.768, 94.8]
05/03/15 : [93.1425, 95.75]
06/03/15 : [110.22, 122.25]
07/03/15 : [135.315, 136.0]
08/03/15 : [111.13499999999999, 105.0]
09/03/15 : [147.76749999999998, 151.75]
10/03/15 : [132.94400000000002, 129.6]
11/03/15 : [163.3425, 167.5]
12/03/15 : [151.88600000000002, 153.2]
13/03/15 : [161.46333333333334, 150.0]
14/03/15 : [150.265, 136.0]
15/03/15 : [121.03999999999999, 116.25]
16/03/15 : [118.43400000000001, 114.8]
17/03/15 : [135.70333333333335, 124.5]
18/03/15 : [114.45, 118.2]
19/03/15 : [129.25, 124.25]
20/03/15 : [181.3, 165.25]
21/03/15 : [126.4725, 125.75]
22/03/15 : [129.04500000000002, 125.75]
23/03/15 : [154.84, 136.25]
24/03/15 : [100.546, 95.2]
25/03/15 : [121.325, 109.0]
26/03/15 : [75.62, 75.4]
27/03/15 : [96.3375, 93.5]
28/03/15 : [75.835, 75.0]
29/03/15 : [75.5575, 73.5]
30/03/15 : [83.322, 84.0]
31/03/15 : [105.065, 104.0]
01/04/15 : [88.1675, 88.0]
02/04/15 : [101.756, 95.4]
03/04/15 : [97.1225, 91.5]
04/04/15 : [84.62, 83.25]
05/04/15 : [70.305, 72.25]
06/04/15 : [88.00999999999999, 93.75]
07/04/15 : [78.324, 79.8]
08/04/15 : [71.5875, 79.5]
09/04/15 : [129.788, 123.4]
10/04/15 : [113.5975, 109.25]
11/04/15 : [88.65166666666666, 87.66666666666667]
12/04/15 : [94.745, 97.0]
13/04/15 : [103.474, 103.8]
14/04/15 : [105.6175, 107.0]
15/04/15 : [106.405, 109.5]
16/04/15 : [137.43, 129.2]
17/04/15 : [106.81333333333333, 103.16666666666667]
18/04/15 : [64.7, 65.5]
19/04/15 : [51.225, 53.25]
20/04/15 : [50.525, 54.5]
21/04/15 : [94.668, 90.2]
22/04/15 : [93.47, 94.75]
23/04/15 : [72.91, 77.4]
24/04/15 : [67.585, 74.83333333333333]
25/04/15 : [79.8375, 87.75]
26/04/15 : [54.557500000000005, 70.5]
27/04/15 : [100.138, 101.0]
28/04/15 : [60.260000000000005, 69.75]
29/04/15 : [83.766, 83.0]
30/04/15 : [67.27, 66.33333333333333]
01/05/15 : [92.2975, 90.0]
02/05/15 : [55.065, 58.5]
03/05/15 : [74.8, 75.5]
04/05/15 : [103.346, 99.0]
05/05/15 : [81.2975, 78.75]
06/05/15 : [85.132, 83.0]
07/05/15 : [111.62, 104.75]
08/05/15 : [59.63833333333333, 62.833333333333336]
09/05/15 : [89.0575, 88.25]
10/05/15 : [98.5875, 92.75]
11/05/15 : [75.9225, 76.0]
12/05/15 : [86.866, 86.0]
13/05/15 : [78.08, 80.75]
14/05/15 : [76.478, 78.8]
15/05/15 : [89.06166666666667, 89.5]
16/05/15 : [66.4075, 72.0]
17/05/15 : [55.815, 63.25]
18/05/15 : [78.054, 79.4]
19/05/15 : [93.20666666666666, 94.16666666666667]
20/05/15 : [57.08, 66.2]
21/05/15 : [101.31, 97.0]
22/05/15 : [98.3425, 93.0]
23/05/15 : [97.235, 93.75]
24/05/15 : [77.77250000000001, 77.75]
25/05/15 : [99.725, 95.0]
26/05/15 : [77.505, 75.5]
27/05/15 : [86.945, 86.25]
28/05/15 : [89.4125, 86.5]
29/05/15 : [82.34333333333333, 81.0]
30/05/15 : [92.17, 96.0]
31/05/15 : [56.626666666666665, 65.0]
