01/01/16 : [334.9375, 310.0]
02/01/16 : [308.09666666666664, 305.3333333333333]
03/01/16 : [314.96666666666664, 297.0]
04/01/16 : [268.70500000000004, 240.5]
05/01/16 : [289.60833333333335, 282.3333333333333]
06/01/16 : [290.006, 260.8]
07/01/16 : [384.95799999999997, 355.4]
08/01/16 : [261.46000000000004, 252.25]
09/01/16 : [311.61428571428576, 295.2857142857143]
10/01/16 : [247.8475, 216.0]
11/01/16 : [235.63600000000002, 220.6]
12/01/16 : [257.0925, 251.5]
13/01/16 : [274.58166666666665, 251.66666666666666]
14/01/16 : [256.274, 241.6]
15/01/16 : [208.10333333333332, 197.33333333333334]
16/01/16 : [189.618, 188.8]
17/01/16 : [258.21, 227.4]
18/01/16 : [222.33666666666667, 211.11111111111111]
19/01/16 : [247.22200000000004, 230.2]
20/01/16 : [202.43400000000003, 194.2]
21/01/16 : [190.25333333333333, 181.5]
22/01/16 : [217.658, 205.6]
23/01/16 : [199.384, 172.4]
24/01/16 : [207.295, 187.0]
25/01/16 : [267.366, 240.0]
26/01/16 : [223.43599999999998, 210.2]
27/01/16 : [234.285, 218.0]
28/01/16 : [252.0233333333333, 219.83333333333334]
29/01/16 : [255.585, 224.83333333333334]
30/01/16 : [271.4675, 244.0]
31/01/16 : [208.82333333333335, 194.66666666666666]
01/02/16 : [244.95000000000002, 223.66666666666666]
02/02/16 : [185.65, 160.0]
03/02/16 : [251.91666666666666, 225.16666666666666]
04/02/16 : [198.99166666666667, 185.66666666666666]
05/02/16 : [238.71888888888893, 223.66666666666666]
06/02/16 : [264.71999999999997, 238.8]
07/02/16 : [225.67200000000003, 220.8]
08/02/16 : [218.95, 196.0]
09/02/16 : [230.61666666666667, 219.55555555555554]
10/02/16 : [277.216, 248.2]
11/02/16 : [132.635, 122.0]
12/02/16 : [157.262, 139.0]
13/02/16 : [221.16, 183.2]
14/02/16 : [166.435, 146.5]
15/02/16 : [172.26500000000001, 166.5]
16/02/16 : [190.82000000000002, 171.16666666666666]
17/02/16 : [200.97, 179.8]
18/02/16 : [181.86333333333334, 162.33333333333334]
19/02/16 : [197.10666666666665, 166.5]
20/02/16 : [197.64166666666665, 173.5]
21/02/16 : [165.59666666666666, 144.0]
22/02/16 : [169.62, 150.0]
23/02/16 : [213.95, 176.2]
24/02/16 : [99.8475, 97.0]
25/02/16 : [89.702, 87.6]
26/02/16 : [82.3, 90.0]
27/02/16 : [127.25222222222222, 122.88888888888889]
28/02/16 : [127.13666666666666, 116.16666666666667]
29/02/16 : [136.80833333333334, 139.66666666666666]
01/03/16 : [123.90333333333335, 116.44444444444444]
02/03/16 : [119.125, 110.16666666666667]
03/03/16 : [108.31166666666667, 103.0]
04/03/16 : [125.74166666666667, 115.5]
05/03/16 : [144.012, 134.2]
06/03/16 : [127.63499999999999, 127.0]
07/03/16 : [181.97899999999998, 161.5]
08/03/16 : [143.212, 128.2]
09/03/16 : [133.72, 121.16666666666667]
10/03/16 : [160.24, 142.83333333333334]
11/03/16 : [168.55, 158.4]
12/03/16 : [157.91, 137.16666666666666]
13/03/16 : [144.375, 131.33333333333334]
14/03/16 : [131.72, 122.8]
15/03/16 : [127.356, 117.3]
16/03/16 : [142.84666666666666, 130.5]
17/03/16 : [145.47, 139.83333333333334]
18/03/16 : [130.98666666666668, 124.66666666666667]
19/03/16 : [110.27666666666666, 104.0]
20/03/16 : [105.085, 100.5]
21/03/16 : [111.19500000000001, 105.3]
22/03/16 : [161.37, 141.16666666666666]
23/03/16 : [155.32333333333335, 142.66666666666666]
24/03/16 : [151.53833333333333, 133.83333333333334]
25/03/16 : [116.55499999999999, 108.5]
26/03/16 : [92.24333333333334, 90.83333333333333]
27/03/16 : [96.42666666666666, 93.33333333333333]
28/03/16 : [135.33, 122.33333333333333]
29/03/16 : [120.37285714285714, 112.14285714285714]
30/03/16 : [92.82, 90.83333333333333]
31/03/16 : [87.67666666666666, 86.5]
01/04/16 : [71.92999999999999, 72.16666666666667]
02/04/16 : [75.53833333333334, 75.66666666666667]
03/04/16 : [78.91333333333334, 79.0]
04/04/16 : [86.76833333333333, 86.33333333333333]
05/04/16 : [90.214, 89.0]
06/04/16 : [136.84, 124.6]
07/04/16 : [124.335, 114.16666666666667]
08/04/16 : [116.226, 109.5]
09/04/16 : [111.75, 105.5]
10/04/16 : [106.59166666666665, 101.66666666666667]
11/04/16 : [115.83333333333333, 108.16666666666667]
12/04/16 : [133.56300000000002, 122.2]
13/04/16 : [140.26333333333335, 126.83333333333333]
14/04/16 : [96.64999999999999, 95.0]
15/04/16 : [98.04833333333333, 94.83333333333333]
16/04/16 : [88.48666666666666, 87.16666666666667]
17/04/16 : [84.46666666666667, 84.33333333333333]
18/04/16 : [87.392, 86.8]
19/04/16 : [99.425, 96.33333333333333]
20/04/16 : [87.19, 86.66666666666667]
