Date,City,PM10,AQI
01/01/12,Kolkata,204.565,169.5
02/01/12,Kolkata,77.185,90.5
03/01/12,Kolkata,137.62,125.0
04/01/12,Kolkata,132.245,121.5
05/01/12,Kolkata,160.77333333333334,140.0
06/01/12,Kolkata,113.54500000000002,107.0
07/01/12,Kolkata,115.67500000000001,107.0
08/01/12,Kolkata,127.13499999999999,118.0
09/01/12,Kolkata,547.9233333333333,621.3333333333334
10/01/12,Kolkata,136.87,127.0
11/01/12,Kolkata,154.02666666666667,133.33333333333334
12/01/12,Kolkata,116.9,105.5
13/01/12,Kolkata,118.84,121.0
14/01/12,Kolkata,160.88,106.0
15/01/12,Kolkata,178.89,120.0
16/01/12,Kolkata,166.735,144.5
17/01/12,Kolkata,89.91000000000001,104.66666666666667
18/01/12,Kolkata,551.465,594.0
19/01/12,Kolkata,89.06,95.33333333333333
20/01/12,Kolkata,79.305,93.0
21/01/12,Kolkata,162.57,141.5
22/01/12,Kolkata,155.08666666666667,173.0
23/01/12,Kolkata,162.39,149.0
24/01/12,Kolkata,224.0566666666667,203.33333333333334
25/01/12,Kolkata,237.375,210.5
26/01/12,Kolkata,194.97,163.0
27/01/12,Kolkata,163.78333333333333,163.33333333333334
28/01/12,Kolkata,144.13,176.0
29/01/12,Kolkata,191.9433333333333,165.0
30/01/12,Kolkata,164.64,146.0
31/01/12,Kolkata,129.10500000000002,125.0
01/02/12,Kolkata,206.7733333333333,189.66666666666666
02/02/12,Kolkata,161.31,152.0
03/02/12,Kolkata,238.21,221.33333333333334
04/02/12,Kolkata,181.70499999999998,165.0
05/02/12,Kolkata,192.7,161.5
06/02/12,Kolkata,169.58,173.0
07/02/12,Kolkata,173.40333333333334,158.33333333333334
08/02/12,Kolkata,120.71000000000001,110.5
09/02/12,Kolkata,148.52666666666667,132.33333333333334
10/02/12,Kolkata,121.905,114.5
11/02/12,Kolkata,145.95999999999998,130.5
12/02/12,Kolkata,158.62,139.5
13/02/12,Kolkata,206.41000000000003,175.0
14/02/12,Kolkata,189.75,167.0
15/02/12,Kolkata,135.325,123.5
16/02/12,Kolkata,178.06333333333336,155.33333333333334
17/02/12,Kolkata,161.99,141.0
18/02/12,Kolkata,135.695,133.5
19/02/12,Kolkata,163.185,142.0
20/02/12,Kolkata,152.04,134.5
21/02/12,Kolkata,204.84666666666666,170.0
22/02/12,Kolkata,206.45000000000002,175.5
23/02/12,Kolkata,156.57,144.5
24/02/12,Kolkata,142.31,140.5
25/02/12,Kolkata,149.9,141.5
26/02/12,Kolkata,126.42,110.0
27/02/12,Kolkata,129.355,123.5
28/02/12,Kolkata,146.54,130.66666666666666
29/02/12,Kolkata,139.095,126.5
01/03/12,Kolkata,89.89666666666666,90.33333333333333
02/03/12,Kolkata,84.07,85.5
03/03/12,Kolkata,163.51,142.0
04/03/12,Kolkata,138.88,125.5
05/03/12,Kolkata,103.96666666666665,98.0
06/03/12,Kolkata,151.04000000000002,133.5
07/03/12,Kolkata,153.51,135.0
08/03/12,Kolkata,169.74,146.5
09/03/12,Kolkata,88.03666666666668,83.0
10/03/12,Kolkata,133.76999999999998,122.5
11/03/12,Kolkata,176.59500000000003,151.0
12/03/12,Kolkata,151.445,134.5
13/03/12,Kolkata,164.32,143.0
14/03/12,Kolkata,147.245,133.0
15/03/12,Kolkata,158.78,138.66666666666666
16/03/12,Kolkata,121.28999999999999,111.0
17/03/12,Kolkata,143.09,129.0
18/03/12,Kolkata,-1.0,-1.0
19/03/12,Kolkata,105.435,99.5
20/03/12,Kolkata,138.4,125.0
21/03/12,Kolkata,102.1,95.5
22/03/12,Kolkata,239.40666666666667,204.0
23/03/12,Kolkata,225.70499999999998,187.5
24/03/12,Kolkata,126.3,118.0
